wallet,loss,wallet_share,loss_share
Wd2c645c31dca,-523.3457277726903,0.06412103746397695,0.9804289538738968
Wef6bde486af4,-520.145941196985,0.06484149855907781,0.9805894540557174
Wd863edc9fca3,-496.8057272032358,0.06556195965417867,0.9807427522038528
W7331a258c791,-494.3027617260923,0.06628242074927954,0.9808952780179518
W17dc742f2dda,-493.33599640887803,0.0670028818443804,0.9810475055196027
W80d70257b2a0,-486.99764207882396,0.06772334293948126,0.9811977772105054
W873e247c3250,-472.9186233764147,0.06844380403458213,0.9813437045724754
W288af8da5040,-456.234241881586,0.069164265129683,0.9814844836749831
W6435c686e816,-447.66208695881346,0.06988472622478387,0.9816226176882674
W236e5508ee15,-435.78793056887696,0.07060518731988473,0.9817570877216787
W50ad28b546e1,-432.52398793267474,0.07132564841498559,0.9818905506081623
W33fb50ef648e,-426.4760582000745,0.07204610951008646,0.9820221472995172
W8a3f2c31e9e6,-413.79783272580426,0.07276657060518732,0.9821498319013362
W0c7cab2d3d5b,-412.363097604905,0.07348703170028818,0.9822770737903902
W88d45590fd95,-403.9942530523959,0.07420749279538905,0.9824017333252125
Wb7e15252d51e,-399.5238103934025,0.07492795389048991,0.9825250134262976
Wcccc631a33cc,-391.76703273940495,0.07564841498559077,0.9826459000371616
W925e9304918f,-390.875735647729,0.07636887608069164,0.982766511622626
W3cbf1441197e,-384.7882541711174,0.07708933717579251,0.9828852448085752
Wecdb354f7cd2,-383.51675683755525,0.07780979827089338,0.9830035856516509
Wd60a9d09c3aa,-382.8424505439582,0.07853025936599424,0.9831217184256557
Wcd60a05e3dde,-381.0217127182506,0.0792507204610951,0.9832392893789694
W21a2eee58222,-379.6919491951303,0.07997118155619597,0.9833564500103519
W7771398dec76,-379.6904470717054,0.08069164265129683,0.9834736101782275
W99f7c6ad7a1d,-379.21719789156634,0.0814121037463977,0.9835906243167424
W5e57d233bf0c,-375.8051371329869,0.08213256484149856,0.9837065856038767
W270246ebc2b4,-372.16379105451557,0.08285302593659942,0.9838214232896112
W1a971f5b8442,-371.5249201151451,0.08357348703170028,0.9839360638404768
Wbc508f663f44,-368.63956034060465,0.08429394812680115,0.9840498140628178
W6cf0041bffd4,-365.8211129867632,0.08501440922190202,0.9841626946036387
We587b806c19b,-364.2649391695413,0.08573487031700289,0.9842750949596484
W6c9f5daa1378,-362.4327083327484,0.08645533141210375,0.9843869299485964
Wb11ac7abed7e,-356.84198428758646,0.08717579250720461,0.9844970398212748
W0f4440779986,-354.73980981865316,0.08789625360230548,0.9846065010310341
W6b3557ac41ed,-351.93577236856277,0.08861671469740634,0.984715097005703
Wdc820999b1a7,-347.3014298978003,0.0893371757925072,0.9848222629724639
W69e3473514c5,-340.1773219898649,0.09005763688760807,0.9849272306703853
W89571ac1918c,-339.8111097123001,0.09077809798270893,0.9850320853670652
W1d837ab25812,-338.4981238010102,0.0914985590778098,0.9851365349188409
W5166e95b4a17,-338.3689671584334,0.09221902017291066,0.985240944617062
W0b6ef1001409,-337.51503054739857,0.09293948126801153,0.9853450908181174
Wdbaab10366a6,-333.08605482542015,0.0936599423631124,0.9854478703807884
W1cc2d5c1d2a5,-328.9736338598931,0.09438040345821326,0.9855493809836149
Wdc76a03462a0,-328.4592436756034,0.09510086455331412,0.9856507328622998
W7d2c02123402,-325.38849125170276,0.09582132564841499,0.9857511372062959
Wd853aebc9af6,-324.063778633868,0.09654178674351585,0.9858511327869064
W57c3844ca8f5,-323.20970348953415,0.09726224783861671,0.9859508648276042
W5158dc47e543,-315.22980990950236,0.09798270893371758,0.9860481345317363
Wb674b3829b54,-312.3797954955925,0.09870317002881844,0.9861445248137766
Wca27c403b0f6,-312.135106120033,0.0994236311239193,0.986240839592605
We9ed7be756fb,-308.6114036682642,0.10014409221902017,0.9863360670710444
W147027a06a1a,-307.7931630185235,0.10086455331412104,0.9864310420669347
Wbba6d7079b2c,-301.1601792053358,0.10158501440922191,0.986523970338966
W76f56359c89e,-300.31827834537654,0.10230547550432277,0.9866166388276743
